work_year,job_title,job_category,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2021,data_engineer,Analysis,159120,mexico,pleno,meio_periodo,hibrido,mexico,media
2021,data_scientist,Data Science,120930,japao,senior,tempo_integral,presencial,mexico,media
2021,machine_learning_engineer,Engineering,79699,japao,junior,meio_periodo,hibrido,mexico,pequena
2021,statistician,ML/AI,120470,china,senior,tempo_integral,hibrido,estados unidos,media
2021,statistician,Analysis,174779,japao,junior,temporario,hibrido,mexico,grande
2022,data_engineer,ML/AI,162996,reino unido,executivo,freelancer,remoto,india,media
2022,data_engineer,Analysis,125023,japao,pleno,tempo_integral,hibrido,japao,pequena
2021,machine_learning_engineer,Analysis,59018,india,sem_exp,freelancer,remoto,alemanha,pequena
2022,data_scientist,Data Science,51031,china,sem_exp,meio_periodo,presencial,india,grande
2020,statistician,Engineering,134985,alemanha,executivo,freelancer,presencial,china,media
2021,machine_learning_engineer,Engineering,98237,japao,executivo,freelancer,hibrido,china,pequena
2020,data_analyst,Analysis,138426,india,pleno,freelancer,remoto,japao,media
2020,data_analyst,Data Science,46719,india,sem_exp,meio_periodo,presencial,japao,pequena
2021,machine_learning_engineer,ML/AI,39718,reino unido,senior,temporario,remoto,mexico,grande
2022,statistician,Data Science,30056,china,junior,temporario,remoto,india,pequena
2020,machine_learning_engineer,Analysis,176424,reino unido,pleno,temporario,presencial,india,media
2021,statistician,ML/AI,151743,alemanha,executivo,tempo_integral,remoto,estados unidos,grande
2020,data_engineer,Analysis,77820,alemanha,executivo,tempo_integral,remoto,alemanha,grande
2020,machine_learning_engineer,Analysis,98683,estados unidos,sem_exp,meio_periodo,presencial,alemanha,pequena
2020,statistician,Analysis,99073,alemanha,executivo,temporario,hibrido,alemanha,grande
2020,machine_learning_engineer,Engineering,30721,china,junior,freelancer,hibrido,mexico,pequena
2022,machine_learning_engineer,Analysis,70194,mexico,sem_exp,temporario,remoto,china,grande
2020,statistician,Analysis,109882,mexico,executivo,tempo_integral,hibrido,china,grande
2020,statistician,Data Science,171983,china,pleno,meio_periodo,presencial,india,pequena
2020,data_scientist,Data Science,181944,reino unido,junior,temporario,presencial,estados unidos,pequena
2022,machine_learning_engineer,Engineering,103072,india,junior,tempo_integral,presencial,reino unido,media
2020,data_analyst,Data Science,153919,estados unidos,senior,tempo_integral,remoto,estados unidos,grande
2020,machine_learning_engineer,Analysis,115968,mexico,junior,freelancer,presencial,china,media
2022,machine_learning_engineer,Analysis,137251,mexico,sem_exp,temporario,remoto,mexico,pequena
2022,statistician,Analysis,74537,alemanha,pleno,freelancer,remoto,india,pequena
2022,machine_learning_engineer,Engineering,139254,india,executivo,temporario,presencial,estados unidos,grande
2020,machine_learning_engineer,Engineering,177932,reino unido,junior,meio_periodo,presencial,india,pequena
2022,data_analyst,Engineering,191815,japao,senior,temporario,remoto,japao,grande
2022,statistician,Data Science,102941,estados unidos,junior,freelancer,presencial,japao,pequena
2020,machine_learning_engineer,Analysis,193277,china,sem_exp,freelancer,hibrido,reino unido,media
2022,data_engineer,ML/AI,47645,india,senior,tempo_integral,remoto,china,media
2020,data_scientist,Analysis,142661,reino unido,senior,temporario,remoto,mexico,grande
2021,data_analyst,Data Science,101473,reino unido,sem_exp,temporario,presencial,japao,pequena
2022,machine_learning_engineer,Analysis,80734,estados unidos,pleno,meio_periodo,presencial,reino unido,pequena
2021,data_engineer,Engineering,191503,estados unidos,senior,tempo_integral,remoto,alemanha,grande
2020,machine_learning_engineer,ML/AI,157705,alemanha,executivo,freelancer,remoto,india,grande
2022,machine_learning_engineer,Analysis,90914,alemanha,pleno,temporario,remoto,mexico,grande
2020,statistician,Data Science,47882,china,executivo,tempo_integral,presencial,alemanha,grande
2021,statistician,Data Science,120860,china,executivo,meio_periodo,remoto,alemanha,media
2020,statistician,Analysis,174051,estados unidos,pleno,tempo_integral,hibrido,reino unido,pequena
2022,data_engineer,Engineering,130513,estados unidos,junior,temporario,hibrido,india,grande
2022,machine_learning_engineer,ML/AI,148751,india,executivo,temporario,presencial,reino unido,pequena
2021,data_scientist,Analysis,74828,alemanha,pleno,meio_periodo,remoto,estados unidos,media
2020,data_analyst,Data Science,168300,reino unido,executivo,meio_periodo,remoto,alemanha,media
2022,statistician,ML/AI,150354,mexico,senior,meio_periodo,hibrido,india,grande
2021,statistician,Data Science,104217,mexico,executivo,freelancer,remoto,alemanha,pequena
2022,machine_learning_engineer,Data Science,136500,mexico,executivo,tempo_integral,presencial,estados unidos,pequena
2022,machine_learning_engineer,Analysis,103803,alemanha,executivo,tempo_integral,presencial,china,pequena
2020,data_engineer,Data Science,100908,alemanha,senior,tempo_integral,presencial,estados unidos,media
2022,data_engineer,ML/AI,68918,estados unidos,executivo,freelancer,remoto,china,media
2020,statistician,Engineering,171992,mexico,pleno,tempo_integral,remoto,india,grande
2022,machine_learning_engineer,Analysis,57785,estados unidos,executivo,meio_periodo,hibrido,india,pequena
2021,data_scientist,ML/AI,112757,alemanha,pleno,tempo_integral,hibrido,mexico,pequena
2022,data_analyst,Analysis,186250,japao,executivo,freelancer,presencial,estados unidos,media
2020,machine_learning_engineer,Data Science,129490,japao,executivo,freelancer,remoto,alemanha,grande
2020,machine_learning_engineer,Analysis,101997,china,sem_exp,tempo_integral,remoto,japao,pequena
2021,data_engineer,ML/AI,139768,alemanha,junior,freelancer,presencial,alemanha,grande
2022,data_analyst,ML/AI,44052,mexico,junior,freelancer,presencial,japao,media
2022,statistician,Engineering,79383,japao,senior,tempo_integral,hibrido,reino unido,pequena
2021,machine_learning_engineer,ML/AI,161399,china,pleno,freelancer,hibrido,india,grande
2022,statistician,ML/AI,118301,china,senior,freelancer,presencial,estados unidos,grande
2022,machine_learning_engineer,Analysis,100775,alemanha,pleno,tempo_integral,remoto,reino unido,pequena
2020,statistician,Data Science,105614,china,senior,meio_periodo,hibrido,alemanha,grande
2022,data_analyst,ML/AI,168110,estados unidos,senior,meio_periodo,presencial,japao,media
2022,data_engineer,Engineering,38048,estados unidos,executivo,freelancer,remoto,china,grande
2021,data_analyst,ML/AI,44954,estados unidos,executivo,temporario,presencial,india,pequena
2021,data_scientist,Data Science,142010,reino unido,executivo,temporario,remoto,japao,media
2020,data_engineer,ML/AI,43225,estados unidos,sem_exp,tempo_integral,hibrido,alemanha,pequena
2022,data_analyst,Analysis,135622,mexico,executivo,tempo_integral,remoto,mexico,pequena
2022,data_scientist,Data Science,174603,estados unidos,senior,meio_periodo,remoto,alemanha,pequena
2022,machine_learning_engineer,ML/AI,39530,alemanha,pleno,temporario,presencial,estados unidos,pequena
2020,machine_learning_engineer,Analysis,54791,japao,junior,tempo_integral,remoto,reino unido,pequena
2020,statistician,Analysis,135806,mexico,sem_exp,temporario,hibrido,india,grande
2021,data_engineer,ML/AI,162721,japao,pleno,temporario,presencial,estados unidos,grande
2020,machine_learning_engineer,Analysis,174544,estados unidos,sem_exp,freelancer,presencial,japao,pequena
2022,data_engineer,Engineering,120721,estados unidos,senior,freelancer,presencial,mexico,media
2022,machine_learning_engineer,Analysis,57134,estados unidos,pleno,temporario,presencial,reino unido,pequena
2020,statistician,Engineering,173516,china,pleno,meio_periodo,presencial,india,pequena
2022,data_analyst,ML/AI,159326,alemanha,junior,tempo_integral,presencial,japao,media
2022,statistician,Analysis,68217,alemanha,junior,tempo_integral,presencial,india,grande
2020,data_scientist,Data Science,183138,alemanha,sem_exp,meio_periodo,hibrido,india,grande
2020,machine_learning_engineer,Data Science,161067,japao,executivo,freelancer,hibrido,china,grande
2022,data_scientist,Analysis,66189,mexico,pleno,freelancer,presencial,china,pequena
2022,data_scientist,ML/AI,148903,mexico,executivo,meio_periodo,remoto,mexico,media
2022,data_engineer,Data Science,196561,reino unido,junior,meio_periodo,presencial,reino unido,media
2021,machine_learning_engineer,Engineering,57284,japao,pleno,freelancer,presencial,china,media
2021,data_scientist,Analysis,54698,alemanha,executivo,temporario,presencial,japao,grande
2021,data_analyst,Analysis,49637,india,senior,freelancer,remoto,china,media
2020,data_scientist,ML/AI,90405,reino unido,senior,temporario,hibrido,mexico,media
2021,data_analyst,Data Science,91305,estados unidos,senior,tempo_integral,remoto,mexico,grande
2020,data_engineer,Analysis,63556,china,pleno,tempo_integral,remoto,estados unidos,pequena
2020,data_scientist,Data Science,112176,japao,sem_exp,temporario,remoto,estados unidos,media
2021,statistician,Data Science,150644,china,pleno,temporario,remoto,estados unidos,grande
2021,data_engineer,Analysis,127012,reino unido,pleno,freelancer,presencial,mexico,media
2021,data_analyst,Data Science,33654,mexico,pleno,meio_periodo,hibrido,india,pequena
2022,data_engineer,Data Science,70428,india,executivo,temporario,remoto,alemanha,pequena
2021,data_scientist,Data Science,159814,reino unido,executivo,tempo_integral,hibrido,reino unido,pequena
2022,machine_learning_engineer,ML/AI,199108,japao,senior,freelancer,presencial,estados unidos,grande
2020,machine_learning_engineer,Data Science,125379,alemanha,executivo,tempo_integral,presencial,reino unido,pequena
2022,data_analyst,Data Science,95355,estados unidos,executivo,freelancer,hibrido,china,media
2021,data_analyst,Data Science,76257,alemanha,sem_exp,meio_periodo,presencial,india,grande
2020,machine_learning_engineer,Engineering,143435,alemanha,senior,meio_periodo,hibrido,reino unido,grande
2020,data_analyst,Data Science,135866,japao,sem_exp,tempo_integral,remoto,estados unidos,media
2020,data_engineer,Data Science,177059,alemanha,senior,temporario,presencial,estados unidos,media
2022,statistician,Engineering,181882,alemanha,executivo,temporario,presencial,mexico,grande
2021,statistician,Engineering,50311,japao,pleno,tempo_integral,hibrido,india,pequena
2020,data_engineer,Analysis,142695,japao,senior,temporario,presencial,india,media
2020,statistician,Data Science,84478,india,junior,temporario,remoto,japao,media
2020,data_scientist,Engineering,195992,alemanha,executivo,tempo_integral,presencial,india,grande
2022,data_engineer,ML/AI,38738,reino unido,junior,tempo_integral,presencial,alemanha,pequena
2022,data_analyst,Analysis,103424,mexico,junior,meio_periodo,presencial,alemanha,media
2021,data_engineer,Analysis,92232,estados unidos,executivo,tempo_integral,hibrido,estados unidos,grande
2022,machine_learning_engineer,Data Science,138400,china,junior,meio_periodo,remoto,china,grande
2020,data_analyst,Data Science,35474,estados unidos,executivo,meio_periodo,remoto,india,grande
2021,machine_learning_engineer,Analysis,89026,japao,junior,freelancer,presencial,alemanha,grande
2020,data_analyst,ML/AI,96024,china,pleno,temporario,presencial,mexico,grande
2020,statistician,Data Science,80974,japao,senior,tempo_integral,hibrido,alemanha,media
2022,data_engineer,Data Science,185216,mexico,pleno,temporario,remoto,mexico,grande
2021,data_scientist,Analysis,35622,mexico,pleno,freelancer,presencial,japao,pequena
2022,data_analyst,Analysis,127366,india,junior,tempo_integral,remoto,china,pequena
2022,data_analyst,Data Science,69214,alemanha,senior,tempo_integral,presencial,mexico,media
2021,machine_learning_engineer,Engineering,123184,japao,senior,freelancer,presencial,china,grande
2020,statistician,Analysis,128233,mexico,sem_exp,temporario,hibrido,india,grande
2020,machine_learning_engineer,Engineering,186295,japao,junior,meio_periodo,remoto,japao,media
2021,machine_learning_engineer,Analysis,51865,estados unidos,pleno,freelancer,remoto,china,grande
2020,statistician,Engineering,73026,alemanha,executivo,freelancer,presencial,china,grande
2021,data_scientist,ML/AI,119037,india,executivo,tempo_integral,presencial,mexico,pequena
2021,machine_learning_engineer,Analysis,187938,mexico,executivo,meio_periodo,hibrido,reino unido,grande
2022,machine_learning_engineer,Data Science,173488,japao,senior,freelancer,presencial,japao,media
2021,data_analyst,Data Science,55775,japao,executivo,temporario,remoto,china,pequena
2022,statistician,Analysis,190152,japao,pleno,freelancer,hibrido,reino unido,media
2020,data_engineer,Analysis,49374,estados unidos,executivo,temporario,remoto,reino unido,media
2020,data_scientist,ML/AI,88451,mexico,senior,tempo_integral,hibrido,china,grande
2020,data_scientist,Data Science,112141,japao,sem_exp,freelancer,remoto,mexico,pequena
2020,statistician,Data Science,45684,japao,executivo,temporario,presencial,india,pequena
2022,data_analyst,ML/AI,54002,estados unidos,senior,tempo_integral,remoto,reino unido,media
2020,data_analyst,Data Science,121551,japao,executivo,tempo_integral,remoto,reino unido,media
2021,statistician,Engineering,160704,alemanha,senior,tempo_integral,hibrido,japao,grande
2021,data_analyst,Analysis,184044,alemanha,junior,freelancer,remoto,india,media
2021,data_scientist,Engineering,36309,estados unidos,junior,tempo_integral,presencial,mexico,media
2022,data_scientist,Data Science,114675,alemanha,pleno,tempo_integral,hibrido,india,media
2020,data_engineer,Engineering,98326,china,junior,temporario,hibrido,reino unido,media
2020,statistician,Analysis,37826,china,sem_exp,tempo_integral,remoto,mexico,pequena
2020,machine_learning_engineer,Data Science,173206,china,senior,freelancer,hibrido,japao,pequena
2022,machine_learning_engineer,Analysis,180765,india,sem_exp,meio_periodo,presencial,japao,pequena
2021,data_engineer,Analysis,151840,japao,executivo,tempo_integral,remoto,japao,media
2021,data_engineer,Engineering,165126,india,executivo,freelancer,presencial,japao,pequena
2020,data_analyst,ML/AI,177162,alemanha,pleno,tempo_integral,remoto,estados unidos,grande
2021,data_engineer,ML/AI,135985,estados unidos,pleno,freelancer,remoto,mexico,grande
2021,data_engineer,Data Science,45569,china,executivo,tempo_integral,hibrido,china,pequena
2022,machine_learning_engineer,Analysis,193299,estados unidos,sem_exp,temporario,hibrido,reino unido,media
2022,data_analyst,Data Science,36508,india,sem_exp,meio_periodo,hibrido,reino unido,media
2022,data_engineer,Data Science,177680,alemanha,senior,meio_periodo,remoto,reino unido,media
2022,data_engineer,ML/AI,119059,mexico,sem_exp,freelancer,hibrido,india,grande
2020,data_analyst,Analysis,127475,japao,executivo,freelancer,presencial,mexico,pequena
2022,statistician,Analysis,160447,mexico,junior,meio_periodo,hibrido,india,media
2021,data_analyst,Engineering,160819,alemanha,executivo,temporario,presencial,japao,pequena
2020,machine_learning_engineer,Analysis,140648,china,senior,temporario,hibrido,china,grande
2021,statistician,Data Science,54520,alemanha,executivo,tempo_integral,remoto,mexico,media
2021,data_scientist,Data Science,60932,estados unidos,senior,temporario,hibrido,india,grande
2021,data_analyst,Data Science,49734,reino unido,junior,meio_periodo,presencial,alemanha,media
2022,machine_learning_engineer,Data Science,99363,china,pleno,meio_periodo,presencial,mexico,media
2022,statistician,Engineering,80555,mexico,junior,temporario,hibrido,reino unido,media
2020,data_analyst,Data Science,46257,japao,sem_exp,temporario,presencial,reino unido,media
2020,data_engineer,ML/AI,193266,china,pleno,meio_periodo,remoto,estados unidos,grande
2022,data_analyst,Analysis,177865,china,pleno,meio_periodo,hibrido,estados unidos,pequena
2021,data_scientist,Data Science,195756,japao,executivo,meio_periodo,presencial,alemanha,pequena
2020,data_analyst,ML/AI,123550,mexico,junior,meio_periodo,hibrido,estados unidos,grande
2022,statistician,Engineering,83219,china,senior,meio_periodo,hibrido,china,grande
2022,statistician,Data Science,163931,estados unidos,senior,temporario,hibrido,japao,pequena
2022,data_analyst,Data Science,69840,alemanha,pleno,temporario,hibrido,japao,pequena
2021,statistician,Analysis,127392,estados unidos,sem_exp,tempo_integral,hibrido,mexico,pequena
2022,data_engineer,Engineering,89327,alemanha,senior,tempo_integral,remoto,reino unido,grande
2022,data_analyst,ML/AI,143827,reino unido,executivo,freelancer,hibrido,japao,pequena
2022,data_engineer,Engineering,64819,china,pleno,tempo_integral,remoto,estados unidos,grande
2022,data_engineer,ML/AI,115621,reino unido,sem_exp,temporario,hibrido,alemanha,pequena
2020,machine_learning_engineer,Analysis,131272,india,pleno,tempo_integral,presencial,china,grande
2020,data_analyst,Data Science,71704,mexico,sem_exp,tempo_integral,hibrido,japao,pequena
2022,statistician,Analysis,90379,alemanha,senior,temporario,hibrido,reino unido,media
2021,data_engineer,Analysis,185390,estados unidos,junior,meio_periodo,presencial,reino unido,media
2020,machine_learning_engineer,Engineering,110987,estados unidos,executivo,temporario,remoto,china,grande
2022,data_analyst,ML/AI,141561,china,pleno,temporario,remoto,estados unidos,grande
2020,data_analyst,Engineering,35274,estados unidos,junior,freelancer,remoto,japao,media
2020,data_scientist,Data Science,179298,india,junior,freelancer,remoto,estados unidos,grande
2021,data_scientist,ML/AI,126462,japao,junior,freelancer,presencial,reino unido,grande
2022,data_engineer,Analysis,49046,estados unidos,junior,meio_periodo,remoto,alemanha,media
2022,data_scientist,Analysis,104210,china,junior,tempo_integral,remoto,japao,pequena
2021,data_engineer,Data Science,148724,reino unido,pleno,freelancer,remoto,mexico,grande
2021,statistician,ML/AI,182982,mexico,senior,temporario,remoto,alemanha,grande
2022,data_engineer,Data Science,172575,estados unidos,junior,freelancer,remoto,china,pequena
2022,data_scientist,Data Science,78392,estados unidos,senior,temporario,hibrido,japao,pequena
2021,statistician,Engineering,91472,estados unidos,senior,meio_periodo,hibrido,reino unido,grande
2020,data_scientist,Data Science,100904,china,executivo,freelancer,remoto,japao,grande
2020,data_engineer,ML/AI,119063,mexico,pleno,temporario,presencial,reino unido,pequena
2021,machine_learning_engineer,Data Science,75335,japao,junior,tempo_integral,presencial,india,grande
2020,data_analyst,ML/AI,52487,estados unidos,senior,meio_periodo,hibrido,reino unido,pequena
2021,data_scientist,Analysis,66593,japao,executivo,temporario,presencial,reino unido,pequena
2020,data_engineer,Data Science,105927,japao,senior,tempo_integral,hibrido,china,grande
2020,statistician,ML/AI,39874,mexico,junior,tempo_integral,remoto,japao,grande
2022,data_scientist,Analysis,84822,mexico,pleno,temporario,remoto,alemanha,pequena
2022,data_scientist,ML/AI,83948,india,pleno,freelancer,presencial,reino unido,grande
2020,data_analyst,Analysis,33608,reino unido,junior,tempo_integral,presencial,japao,pequena
2020,data_engineer,ML/AI,125987,estados unidos,sem_exp,meio_periodo,presencial,reino unido,media
2022,machine_learning_engineer,Data Science,135182,estados unidos,executivo,tempo_integral,remoto,estados unidos,media
2022,statistician,Data Science,57546,estados unidos,pleno,freelancer,remoto,estados unidos,pequena
2022,data_engineer,Analysis,145999,japao,pleno,meio_periodo,presencial,estados unidos,pequena
2021,statistician,Engineering,130804,mexico,senior,meio_periodo,presencial,estados unidos,grande
2020,data_scientist,ML/AI,92496,alemanha,senior,meio_periodo,presencial,alemanha,pequena
2022,data_analyst,Engineering,85186,reino unido,senior,temporario,presencial,china,pequena
2020,data_analyst,ML/AI,166302,china,executivo,tempo_integral,hibrido,reino unido,grande
2021,machine_learning_engineer,Analysis,55720,estados unidos,sem_exp,freelancer,presencial,estados unidos,media
2021,data_analyst,Data Science,73023,alemanha,executivo,temporario,presencial,japao,media
2022,data_scientist,Analysis,198674,alemanha,junior,temporario,hibrido,estados unidos,pequena
2021,machine_learning_engineer,Analysis,97082,mexico,sem_exp,meio_periodo,hibrido,india,grande
2020,data_engineer,Data Science,45050,alemanha,senior,temporario,hibrido,india,media
2022,data_analyst,Data Science,143353,reino unido,executivo,tempo_integral,hibrido,china,pequena
2020,machine_learning_engineer,ML/AI,82164,alemanha,executivo,temporario,presencial,alemanha,grande
2020,data_scientist,Data Science,158470,china,executivo,temporario,remoto,mexico,pequena
2021,statistician,ML/AI,60134,estados unidos,pleno,meio_periodo,remoto,india,grande
2021,statistician,Analysis,176712,china,sem_exp,meio_periodo,remoto,japao,pequena
2021,data_scientist,Data Science,44284,estados unidos,sem_exp,temporario,remoto,estados unidos,media
2021,data_scientist,ML/AI,90526,india,senior,meio_periodo,remoto,india,grande
2021,statistician,Engineering,164495,japao,junior,freelancer,remoto,india,grande
2022,machine_learning_engineer,Data Science,58577,alemanha,executivo,freelancer,hibrido,alemanha,media
2020,statistician,Data Science,151867,china,executivo,freelancer,hibrido,india,grande
2020,data_scientist,Data Science,148247,japao,junior,temporario,remoto,estados unidos,media
2020,data_analyst,Data Science,88900,japao,senior,tempo_integral,presencial,china,pequena
2020,data_engineer,Engineering,114606,japao,junior,tempo_integral,presencial,mexico,media
2021,data_analyst,Engineering,36066,japao,junior,meio_periodo,remoto,china,pequena
2020,data_analyst,Engineering,134342,japao,junior,tempo_integral,presencial,china,grande
2022,data_scientist,Engineering,38583,estados unidos,junior,tempo_integral,hibrido,mexico,grande
2022,statistician,Data Science,68057,reino unido,senior,temporario,hibrido,reino unido,media
2020,machine_learning_engineer,ML/AI,183676,alemanha,executivo,meio_periodo,presencial,estados unidos,pequena
2020,data_analyst,Analysis,56564,alemanha,junior,tempo_integral,remoto,india,media
2022,statistician,Engineering,91429,estados unidos,junior,freelancer,hibrido,india,grande
2022,machine_learning_engineer,ML/AI,128600,china,pleno,meio_periodo,presencial,mexico,grande
2021,data_analyst,Engineering,118393,estados unidos,senior,meio_periodo,presencial,india,pequena
2022,machine_learning_engineer,Data Science,145774,mexico,junior,meio_periodo,hibrido,alemanha,pequena
2021,statistician,Analysis,58941,japao,sem_exp,freelancer,hibrido,japao,pequena
2021,data_engineer,ML/AI,67962,reino unido,junior,tempo_integral,remoto,estados unidos,grande
2021,statistician,ML/AI,199645,alemanha,senior,freelancer,presencial,china,pequena
2021,data_scientist,ML/AI,151410,china,pleno,meio_periodo,remoto,india,media
2021,machine_learning_engineer,Data Science,186764,india,pleno,meio_periodo,hibrido,mexico,media
2020,data_engineer,Data Science,88420,estados unidos,senior,temporario,presencial,reino unido,pequena
2022,machine_learning_engineer,Analysis,112415,india,pleno,temporario,hibrido,alemanha,pequena
2021,machine_learning_engineer,ML/AI,196835,alemanha,pleno,temporario,hibrido,japao,pequena
2022,data_analyst,Analysis,112013,estados unidos,junior,temporario,hibrido,india,grande
2022,data_scientist,Engineering,149012,alemanha,pleno,meio_periodo,remoto,china,media
2021,machine_learning_engineer,Analysis,167465,estados unidos,executivo,freelancer,hibrido,estados unidos,pequena
